 1948   23.5   27.2
 1949   24.1   27.2
 1950   22.9   27.0
 1951   24.0   27.1
 1952   24.8   28.0
 1953   24.2   26.6
 1954   24.1   28.0
 1955   23.5   26.8
 1956   23.5   27.1
 1957   23.3   26.5
 1958   23.7   27.2
 1959   23.8   27.0
 1960   23.6   26.6
 1961   22.7   26.4
 1962   22.8   26.4
 1963   23.0   26.7
 1964   23.2   26.5
 1965   22.7   26.5
 1966   23.2   26.2
 1967   22.3   25.9
 1968   23.5   27.3
 1969   23.8   27.2
 1970   23.5   27.4
 1971   23.0   26.9
 1972   22.3   26.3
 1973   23.4   26.7
 1974   22.6   25.9
 1975   23.7   27.5
 1976   22.7   26.2
 1977   24.3   28.4
 1978   24.0   27.7
 1979   22.7   26.5
 1980   24.3   27.6
 1981   24.5   27.6
 1982   23.7   27.3
 1983   24.3   26.9
 1984   23.3   27.0
 1985   23.2   28.1
 1986   24.5   27.6
 1987   25.0   27.3
 1988   24.4   26.1
 1989   23.7   26.9
 1990   23.9   27.4
 1991   23.9   27.4
 1992   22.6   26.7
 1993   23.9   27.6
 1994   22.7   26.2
 1995   23.2   27.1
 1996   22.5   26.7
